image,K,cluster,pixel_count,area_pct,L_mean,L_median,L_sd,L_iqr,a_mean,a_median,a_sd,a_iqr,b_mean,b_median,b_sd,b_iqr,C_mean,C_median,hue_mean_deg,hue_median_deg
SAM_2652.JPG,3,1,277122,1.7401424455054013,50.565216064453125,51.37255096435547,6.046169757843018,6.666664123535156,6.027728080749512,7.0,3.572011947631836,6.0,18.681201934814453,21.0,5.754435062408447,7.0,19.832378387451172,22.135944366455078,73.51485443115234,72.3498764038086
SAM_2652.JPG,3,2,672717,4.224216790846836,44.90123748779297,45.490196228027344,3.79742431640625,4.705883026123047,21.23373794555664,20.0,5.35498046875,7.0,39.140316009521484,39.0,2.679696798324585,4.0,44.752742767333984,44.271888732910156,61.822906494140625,63.4349479675293
SAM_2653.JPG,3,0,851123,5.344488198865098,41.41025924682617,41.568626403808594,3.743328094482422,4.705883026123047,28.717538833618164,28.0,4.52254581451416,7.0,40.15786361694336,40.0,2.548205614089966,3.0,49.53414535522461,49.09175109863281,54.574344635009766,55.175506591796875
SAM_2653.JPG,3,1,146665,0.920958970309285,46.802940368652344,47.8431396484375,7.844836235046387,11.372547149658203,5.98382043838501,7.0,5.4810380935668945,9.0,16.669164657592773,19.0,7.4056196212768555,13.0,18.177265167236328,20.880613327026367,76.68888854980469,70.01688385009766
SAM_2653.JPG,3,2,830295,5.2137021665219905,45.24980163574219,46.27450942993164,4.755319118499756,4.705883026123047,18.3050479888916,18.0,3.2575159072875977,5.0,35.07997131347656,36.0,4.153377056121826,5.0,39.67201232910156,40.31128692626953,62.4660758972168,63.4349479675293
SAM_2654.JPG,3,0,718749,4.513267234519676,48.425838470458984,48.6274528503418,2.6280877590179443,3.137256622314453,13.068172454833984,13.0,2.1964566707611084,3.0,32.69068145751953,33.0,3.1232595443725586,5.0,35.24286651611328,35.735137939453125,68.27991485595703,68.1985855102539
SAM_2654.JPG,3,1,399753,2.5101838288483798,51.3297004699707,51.764705657958984,4.385063171386719,4.705883026123047,6.500646591186523,7.0,2.930183172225952,4.0,19.716110229492188,21.0,5.816878318786621,7.0,20.860383987426758,22.360679626464844,72.74517822265625,71.56504821777344
SAM_2654.JPG,3,2,601125,3.774666491849923,44.75075912475586,45.09804153442383,2.8624095916748047,3.5294113159179688,20.678884506225586,20.0,3.830578088760376,5.0,39.309234619140625,39.0,1.8719350099563599,2.0,44.54352569580078,44.29446792602539,62.3977165222168,62.92791748046875
SAM_2655.JPG,3,0,814213,5.11271786787873,50.35881805419922,50.19607925415039,2.8126473426818848,3.5294113159179688,10.930948257446289,11.0,2.3098652362823486,4.0,29.61333656311035,30.0,3.8508946895599365,7.0,31.600013732910156,31.95309066772461,69.86346435546875,69.6768569946289
SAM_2655.JPG,3,1,645275,4.051899223170653,45.71356964111328,46.27450942993164,3.5086722373962402,4.313724517822266,21.30883026123047,20.0,6.0290303230285645,9.0,39.6525993347168,40.0,2.6312918663024902,3.0,45.255653381347656,44.384681701660156,62.205055236816406,63.4349479675293
SAM_2655.JPG,3,2,340023,2.135119026089892,51.91299819946289,52.94117736816406,5.66292667388916,6.274509429931641,4.7031965255737305,6.0,3.030762195587158,4.0,15.301864624023438,18.0,7.069225788116455,7.0,16.401966094970703,18.788293838500977,62.737884521484375,72.3498764038086
SAM_2656.JPG,3,0,334265,2.098962603282536,51.658607482910156,55.686275482177734,9.51276969909668,15.686275482177734,0.5992939472198486,0.0,2.978416919708252,3.0,6.9985432624816895,7.0,6.761748790740967,13.0,8.201911926269531,7.071067810058594,45.76805114746094,79.69514465332031
SAM_2656.JPG,3,1,1000971,6.285434299045139,39.610958099365234,40.0,4.54677677154541,5.882350921630859,27.6845645904541,27.0,5.347313404083252,9.0,38.15282440185547,39.0,3.082056999206543,3.0,47.3846549987793,47.16990661621094,54.243865966796875,54.32358932495117
SAM_2656.JPG,3,2,669555,4.204361527054398,46.42595291137695,47.45098114013672,6.851892471313477,7.450981140136719,13.976080894470215,14.0,4.224290370941162,6.0,30.321453094482422,31.0,5.506514072418213,9.0,33.568641662597656,34.48188018798828,65.46627044677734,66.50142669677734
SAM_2657.JPG,3,0,993486,6.238433461130401,42.660377502441406,42.74509811401367,3.102012872695923,3.1372528076171875,22.191438674926758,23.0,3.7196617126464844,5.0,35.40333557128906,36.0,3.4785757064819336,4.0,41.863975524902344,42.72002029418945,58.065025329589844,58.13401794433594
SAM_2657.JPG,3,1,761763,4.783366638937114,37.535400390625,38.039215087890625,3.1443405151367188,4.705883026123047,34.31217956542969,34.0,4.311329364776611,8.0,38.44656753540039,39.0,1.7495958805084229,2.0,51.64686584472656,51.22499465942383,48.415382385253906,48.81407165527344
SAM_2657.JPG,3,2,165098,1.0367059903870885,41.70606994628906,42.74509811401367,6.9162397384643555,9.019607543945312,9.415032386779785,11.0,5.685844898223877,8.0,15.373626708984375,19.0,9.744891166687012,14.0,18.879255294799805,22.671567916870117,38.038761138916016,58.671302795410156
SAM_2658.JPG,3,0,880348,5.528001824524177,41.84205627441406,41.960784912109375,3.0148847103118896,3.1372528076171875,23.779611587524414,24.0,3.3429977893829346,4.0,35.73323440551758,36.0,2.7821521759033203,4.0,42.99293899536133,43.8292121887207,56.469688415527344,56.309932708740234
SAM_2658.JPG,3,1,97450,0.6119213967656894,40.21425247192383,40.7843132019043,6.831818580627441,10.19607925415039,11.578542709350586,13.0,6.236786365509033,8.0,19.500974655151367,22.0,8.65418529510498,10.0,23.00672721862793,26.925823211669922,61.25942611694336,60.75116729736328
SAM_2658.JPG,3,2,850285,5.339226114406507,37.96691131591797,38.039215087890625,2.4160773754119873,3.137256622314453,33.482666015625,33.0,3.4316253662109375,5.0,38.0771484375,38.0,1.6068352460861206,2.0,50.7762565612793,50.447994232177734,48.77362823486328,49.02825927734375
SAM_2659.JPG,3,0,726293,4.560638553321116,42.80469512939453,43.13725662231445,3.186600685119629,3.92156982421875,21.104524612426758,20.0,5.457667350769043,7.0,35.10593032836914,35.0,3.3602664470672607,6.0,41.11656951904297,40.49691390991211,59.435752868652344,60.25511169433594
SAM_2659.JPG,3,1,259366,1.6286465366190843,47.910057067871094,49.01960754394531,6.515134811401367,6.666664123535156,1.9732270240783691,2.0,3.804184675216675,7.0,5.761576175689697,7.0,5.754458427429199,11.0,7.790960788726807,7.6157732009887695,26.353443145751953,63.4349479675293
SAM_2659.JPG,3,2,929804,5.838552718299897,46.5653190612793,47.05882263183594,4.408110618591309,4.313724517822266,10.77292537689209,11.0,2.756007432937622,4.0,22.567203521728516,23.0,4.419869422912598,7.0,25.08188247680664,25.079872131347656,64.52210235595703,64.44003295898438
SAM_2660.JPG,3,0,1043664,6.553518036265432,36.97998046875,37.25490188598633,2.074735641479492,2.745098114013672,36.34860610961914,36.0,3.516554117202759,6.0,38.56324768066406,39.0,1.499759554862976,2.0,53.05519485473633,53.037723541259766,46.79608154296875,47.231170654296875
SAM_2660.JPG,3,1,726112,4.559501993312757,40.16624069213867,40.39215850830078,3.4937620162963867,3.137256622314453,25.260940551757812,26.0,4.386185646057129,6.0,35.03539276123047,36.0,4.086142539978027,4.0,43.291961669921875,45.0,54.36465835571289,53.746158599853516
SAM_2660.JPG,3,2,101751,0.638928825472608,40.979217529296875,40.7843132019043,6.594232082366943,5.882350921630859,3.012265205383301,1.0,4.9850006103515625,6.0,7.756533145904541,4.0,7.500462532043457,13.0,8.899229049682617,4.4721360206604,78.50346374511719,76.75947570800781
SAM_2661.JPG,3,0,685839,4.306614251784336,39.496971130371094,40.0,4.042570114135742,4.705883026123047,26.48325538635254,27.0,4.115081310272217,6.0,35.20198440551758,36.0,3.8202900886535645,5.0,44.17737579345703,45.343135833740234,53.13346862792969,52.853309631347656
SAM_2661.JPG,3,1,95335,0.5986405988779578,42.970436096191406,41.568626403808594,7.574270725250244,8.627452850341797,4.097980976104736,2.0,4.870760917663574,7.0,9.626129150390625,8.0,7.168397426605225,10.0,11.225908279418945,9.0,51.637901306152344,69.14553833007812
SAM_2661.JPG,3,2,1168777,7.3391447341981735,36.545921325683594,36.86274719238281,2.5476129055023193,3.5294113159179688,37.0268669128418,36.0,3.595550298690796,6.0,38.66550064086914,39.0,1.570793628692627,2.0,53.60279083251953,53.15073013305664,46.34270095825195,46.50743103027344
SAM_2662.JPG,3,0,1018427,6.395046406812629,37.37759017944336,37.64706039428711,2.496479034423828,3.5294113159179688,36.93783950805664,37.0,3.3063228130340576,5.0,39.76593780517578,40.0,1.6321710348129272,2.0,54.34440994262695,54.451812744140625,47.19044876098633,47.29060745239258
SAM_2662.JPG,3,1,741328,4.655048386059671,42.56953430175781,42.352943420410156,3.6521008014678955,4.313724517822266,26.131086349487305,27.0,3.855957269668579,5.0,38.18657684326172,39.0,3.0642874240875244,3.0,46.363525390625,47.20169448852539,55.74744415283203,55.30484390258789
SAM_2662.JPG,3,2,54004,0.3391093187371399,45.06501388549805,45.490196228027344,8.053740501403809,11.372550964355469,5.927579402923584,5.0,6.5925397872924805,12.0,17.212003707885742,18.0,7.930360317230225,16.0,18.8370361328125,19.235383987426758,78.71977996826172,73.4956283569336
SAM_2663.JPG,3,0,211894,1.3305538475758745,45.73051452636719,46.27450942993164,8.081550598144531,9.80392074584961,5.404867649078369,5.0,5.611783027648926,10.0,10.284605026245117,11.0,7.781507968902588,15.0,12.213701248168945,12.806248664855957,70.76092529296875,66.03750610351562
SAM_2663.JPG,3,1,672727,4.224279584217464,41.36125946044922,42.352943420410156,5.422731876373291,6.274513244628906,21.716751098632812,23.0,4.768672943115234,8.0,32.55175018310547,34.0,5.229476451873779,8.0,39.34775924682617,40.49691390991211,56.368648529052734,56.68936538696289
SAM_2663.JPG,3,2,1040638,6.534516762313529,36.38728332519531,36.47058868408203,3.30839467048645,4.705879211425781,35.24502944946289,35.0,4.352564811706543,7.0,37.3472785949707,38.0,2.3602657318115234,3.0,51.47199630737305,51.62363815307617,46.79868698120117,46.59114074707031
SAM_2664.JPG,3,0,836435,5.25225729608732,43.30730438232422,43.13725662231445,2.4314560890197754,3.137256622314453,25.043907165527344,25.0,3.4536473751068115,6.0,38.2819938659668,39.0,1.9912691116333008,3.0,45.81905746459961,46.14108657836914,56.94519805908203,56.65928649902344
SAM_2664.JPG,3,1,906539,5.692463941534851,38.236602783203125,38.431373596191406,2.486133575439453,3.5294113159179688,36.28334426879883,36.0,3.635277509689331,6.0,39.861454010009766,40.0,1.4657063484191895,2.0,53.9805908203125,53.81449508666992,47.79705047607422,48.01278305053711
SAM_2664.JPG,3,2,182285,1.1446289564846965,45.32671356201172,46.27450942993164,6.000341415405273,7.0588226318359375,13.539759635925293,15.0,4.319032669067383,6.0,27.426042556762695,30.0,6.994479179382324,9.0,30.702007293701172,33.2866325378418,64.08831787109375,63.4349479675293
SAM_2665.JPG,3,0,1310315,8.227909543386703,35.18645477294922,35.29411697387695,2.5341546535491943,3.5294151306152344,37.37531280517578,37.0,3.1741042137145996,5.0,37.574615478515625,38.0,1.6450892686843872,2.0,53.05825424194336,53.075416564941406,45.226356506347656,45.0
SAM_2665.JPG,3,1,91049,0.5717273602269805,44.247108459472656,43.92156982421875,5.5782880783081055,6.274509429931641,5.3748860359191895,4.0,5.120088577270508,8.0,9.080275535583496,8.0,7.462990760803223,14.0,10.912128448486328,9.219544410705566,57.07689666748047,61.18920135498047
SAM_2665.JPG,3,2,548587,3.444762681246785,38.50807189941406,38.82352828979492,4.430762767791748,5.098041534423828,27.02776336669922,28.0,4.169063091278076,5.0,34.19727325439453,35.0,4.037793159484863,5.0,43.71382141113281,45.221675872802734,51.75545120239258,51.546287536621094
SAM_2666.JPG,3,0,1044539,6.559012456195345,41.716373443603516,41.568626403808594,2.3850443363189697,2.745098114013672,26.913747787475586,27.0,2.924966335296631,5.0,36.602020263671875,37.0,1.723224401473999,2.0,45.490474700927734,45.80392837524414,53.76018524169922,53.61564636230469
SAM_2666.JPG,3,1,814919,5.117151079845036,37.47069549560547,37.64706039428711,2.420295476913452,3.137256622314453,35.76507568359375,35.0,3.012911081314087,5.0,37.15996170043945,37.0,1.5070244073867798,2.0,51.64089584350586,51.62363815307617,46.167484283447266,46.59114074707031
SAM_2666.JPG,3,2,195797,1.2294753588766718,42.56120300292969,43.92156982421875,5.888282775878906,5.882350921630859,17.097570419311523,18.0,4.47146463394165,4.0,28.052494049072266,30.0,6.3094377517700195,6.0,33.0153923034668,35.35533905029297,59.04548263549805,59.30027389526367
SAM_2667.JPG,3,0,842537,5.290573810844265,38.6075325012207,38.82352828979492,3.169081687927246,4.313724517822266,34.818939208984375,34.0,4.274092197418213,7.0,37.812889099121094,38.0,1.9269098043441772,2.0,51.51993179321289,50.990196228027344,47.51436233520508,48.09405517578125
